"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['B4Pi', 39, 1.0, 1.5, 2.5]",1.0506161337657153e-05
"['B4Pi', 40, -1.0, -1.5, -2.5]",1.6127775731997135e-05
"['B4Pi', 40, -1.0, -0.5, -1.5]",1.6919596414755838e-05
"['B4Pi', 40, -1.0, 0.5, -0.5]",1.7387884211243935e-05
"['B4Pi', 40, -1.0, 1.5, 0.5]",1.7387836162289397e-05
"['B4Pi', 40, 1.0, -1.5, -0.5]",1.7468025331112522e-05
"['B4Pi', 40, 1.0, -0.5, 0.5]",1.7646105683170657e-05
"['B4Pi', 40, 1.0, 0.5, 1.5]",1.691163750590983e-05
"['B4Pi', 40, 1.0, 1.5, 2.5]",1.6123059931598073e-05
"['B4Pi', 41, -1.0, -1.5, -2.5]",2.496816144576021e-05
"['B4Pi', 41, -1.0, -0.5, -1.5]",2.5837155924609606e-05
"['B4Pi', 41, -1.0, 0.5, -0.5]",2.6510718954977477e-05
"['B4Pi', 41, -1.0, 1.5, 0.5]",2.6948643717839104e-05
"['B4Pi', 41, 1.0, -1.5, -0.5]",2.6975583591277773e-05
"['B4Pi', 41, 1.0, -0.5, 0.5]",2.648040020609214e-05
"['B4Pi', 41, 1.0, 0.5, 1.5]",2.7420747974423957e-05
"['B4Pi', 41, 1.0, 1.5, 2.5]",2.4968066313421018e-05
"['B4Pi', 42, -1.0, -1.5, -2.5]",3.893360021322507e-05
"['B4Pi', 42, -1.0, -0.5, -1.5]",4.0279138431493365e-05
"['B4Pi', 42, -1.0, 0.5, -0.5]",4.135767905489971e-05
"['B4Pi', 42, -1.0, 1.5, 0.5]",4.209537284459681e-05
"['B4Pi', 42, 1.0, -1.5, -0.5]",4.211085107854776e-05
"['B4Pi', 42, 1.0, -0.5, 0.5]",4.1348852591598244e-05
"['B4Pi', 42, 1.0, 0.5, 1.5]",4.028817330384698e-05
"['B4Pi', 42, 1.0, 1.5, 2.5]",3.893302275190277e-05
"['B4Pi', 43, -1.0, -1.5, -2.5]",6.0951347562753554e-05
"['B4Pi', 43, -1.0, -0.5, -1.5]",6.315166478624094e-05
"['B4Pi', 43, -1.0, 0.5, -0.5]",6.486344189564533e-05
"['B4Pi', 43, -1.0, 1.5, 0.5]",6.605791734663273e-05
"['B4Pi', 43, 1.0, -1.5, -0.5]",6.60693404486643e-05
"['B4Pi', 43, 1.0, -0.5, 0.5]",6.48714303011469e-05
"['B4Pi', 43, 1.0, 0.5, 1.5]",6.316164473145685e-05
"['B4Pi', 43, 1.0, 1.5, 2.5]",6.126850115427956e-05
"['B4Pi', 44, -1.0, -1.5, -2.5]",9.566397091061701e-05
"['B4Pi', 44, -1.0, -0.5, -1.5]",9.921818144000093e-05
"['B4Pi', 44, -1.0, 0.5, -0.5]",0.00010197159409101432
"['B4Pi', 44, -1.0, 1.5, 0.5]",0.00010554032906706194
"['B4Pi', 44, 1.0, -1.5, -0.5]",0.0001158866161726359
"['B4Pi', 44, 1.0, -0.5, 0.5]",0.0001020004842243149
"['B4Pi', 44, 1.0, 0.5, 1.5]",9.924663793676546e-05
"['B4Pi', 44, 1.0, 1.5, 2.5]",9.566490704624536e-05
"['B4Pi', 45, -1.0, -1.5, -2.5]",0.00015025075115363768
"['B4Pi', 45, -1.0, -0.5, -1.5]",0.00015798360048751035
"['B4Pi', 45, -1.0, 0.5, -0.5]",0.00016038518990613206
"['B4Pi', 45, -1.0, 1.5, 0.5]",0.00016317828237252092
"['B4Pi', 45, 1.0, -1.5, -0.5]",0.00016324347839672353
"['B4Pi', 45, 1.0, -0.5, 0.5]",0.00016047174982935407
"['B4Pi', 45, 1.0, 0.5, 1.5]",0.00015603810064192955
"['B4Pi', 45, 1.0, 1.5, 2.5]",0.00015025077509877156
"['B4Pi', 46, -1.0, -1.5, -2.5]",0.0002358479447572102
"['B4Pi', 46, -1.0, -0.5, -1.5]",0.0002451303133640352
"['B4Pi', 46, -1.0, 0.5, -0.5]",0.000251880041864341
"['B4Pi', 46, -1.0, 1.5, 0.5]",0.00025342416472707056
"['B4Pi', 46, 1.0, -1.5, -0.5]",0.0002549368406733696
"['B4Pi', 46, 1.0, -0.5, 0.5]",0.00025222666568163875
"['B4Pi', 46, 1.0, 0.5, 1.5]",0.00024518277175645034
"['B4Pi', 46, 1.0, 1.5, 2.5]",0.00023584446642585977
"['B4Pi', 47, -1.0, -1.5, -2.5]",0.00036937778284717364
"['B4Pi', 47, -1.0, -0.5, -1.5]",0.00038432872672993363
"['B4Pi', 47, -1.0, 0.5, -0.5]",0.00047632498276029624
"['B4Pi', 47, -1.0, 1.5, 0.5]",0.0003121516588397196
"['B4Pi', 47, 1.0, -1.5, -0.5]",0.0003769053016275121
"['B4Pi', 47, 1.0, -0.5, 0.5]",0.00039559817294054696
"['B4Pi', 47, 1.0, 0.5, 1.5]",0.00038438219634121066
"['B4Pi', 47, 1.0, 1.5, 2.5]",0.00036938055206804215
"['B4Pi', 48, -1.0, -1.5, -2.5]",0.0005764176601341613
"['B4Pi', 48, -1.0, -0.5, -1.5]",0.0006001006368483053
"['B4Pi', 48, -1.0, 0.5, -0.5]",0.0005758548395276918
"['B4Pi', 48, -1.0, 1.5, 0.5]",6.568283665741757e-07
"['B4Pi', 48, 1.0, -1.5, -0.5]",0.00015782472081858696
"['B4Pi', 48, 1.0, -0.5, 0.5]",0.0006094459634837035
"['B4Pi', 48, 1.0, 0.5, 1.5]",0.000600255286163267
"['B4Pi', 48, 1.0, 1.5, 2.5]",0.000576436781117164
"['B4Pi', 49, -1.0, -1.5, -2.5]",0.000893799628266505
"['B4Pi', 49, -1.0, -0.5, -1.5]",0.0009323390689286407
"['B4Pi', 49, -1.0, 0.5, -0.5]",0.0003225021697793837
"['B4Pi', 49, -1.0, 1.5, 0.5]",0.00026899966316128524
"['B4Pi', 49, 1.0, -1.5, -0.5]",0.0006898512860264029
"['B4Pi', 49, 1.0, -0.5, 0.5]",0.00044197541171020835
"['B4Pi', 49, 1.0, 0.5, 1.5]",0.0009325532367750823
"['B4Pi', 49, 1.0, 1.5, 2.5]",0.0008938418466879232
"['B4Pi', 50, -1.0, -1.5, -2.5]",0.0013777659450581257
"['B4Pi', 50, -1.0, -0.5, -1.5]",0.0008576306759092905
"['B4Pi', 50, -1.0, 0.5, -0.5]",1.9826261362276287e-05
"['B4Pi', 50, -1.0, 1.5, 0.5]",0.0014261246837959539
"['B4Pi', 50, 1.0, -1.5, -0.5]",0.00035775323323836774
"['B4Pi', 50, 1.0, -0.5, 0.5]",0.0014412634923286357
"['B4Pi', 50, 1.0, 0.5, 1.5]",0.0014386591285907063
"['B4Pi', 50, 1.0, 1.5, 2.5]",0.001378021093596199
"['B4Pi', 51, -1.0, -1.5, -2.5]",0.0021058072963348645
"['B4Pi', 51, -1.0, -0.5, -1.5]",0.0015693511226358078
"['B4Pi', 51, -1.0, 0.5, -0.5]",1.6190806190718735e-05
"['B4Pi', 51, -1.0, 1.5, 0.5]",0.002276787282735628
"['B4Pi', 51, 1.0, -1.5, -0.5]",0.002141514832366336
"['B4Pi', 51, 1.0, -0.5, 0.5]",0.0021242500081620585
"['B4Pi', 51, 1.0, 0.5, 1.5]",0.0020921413350852244
"['B4Pi', 51, 1.0, 1.5, 2.5]",0.0021065846430259457
"['B4Pi', 52, -1.0, -1.5, -2.5]",0.0031318527341081186
"['B4Pi', 52, -1.0, -0.5, -1.5]",0.00013542768439361977
"['B4Pi', 52, -1.0, 0.5, -0.5]",0.0029346210930197045
"['B4Pi', 52, -1.0, 1.5, 0.5]",0.0035228347778594824
"['B4Pi', 52, 1.0, -1.5, -0.5]",0.0043657601450122095
"['B4Pi', 52, 1.0, -0.5, 0.5]",0.0029256588865350826
"['B4Pi', 52, 1.0, 0.5, 1.5]",0.003009288433805367
"['B4Pi', 52, 1.0, 1.5, 2.5]",0.0030683658288828334
"['B4Pi', 53, -1.0, -1.5, -2.5]",0.004278164958678791
"['B4Pi', 53, -1.0, -0.5, -1.5]",8.828661889602737e-06
"['B4Pi', 53, -1.0, 0.5, -0.5]",0.004959758315393117
"['B4Pi', 53, -1.0, 1.5, 0.5]",0.005296117348702076
"['B4Pi', 53, 1.0, -1.5, -0.5]",0.005284763439502068
"['B4Pi', 53, 1.0, -0.5, 0.5]",0.004890629819504411
"['B4Pi', 53, 1.0, 0.5, 1.5]",0.0034707834618898582
"['B4Pi', 53, 1.0, 1.5, 2.5]",0.004457020976844288
"['B4Pi', 54, -1.0, -1.5, -2.5]",0.0009500518505926354
"['B4Pi', 54, -1.0, -0.5, -1.5]",0.005949511678412083
"['B4Pi', 54, -1.0, 0.5, -0.5]",0.007548246209770576
"['B4Pi', 54, -1.0, 1.5, 0.5]",0.007868934543921466
"['B4Pi', 54, 1.0, -1.5, -0.5]",0.007871606550650246
"['B4Pi', 54, 1.0, -0.5, 0.5]",0.007392771690320175
"['B4Pi', 54, 1.0, 0.5, 1.5]",0.0029746589776471206
"['B4Pi', 54, 1.0, 1.5, 2.5]",0.004105784090970574
"['B4Pi', 55, -1.0, -1.5, -2.5]",0.002363532279794021
"['B4Pi', 55, -1.0, -0.5, -1.5]",0.009479329020475304
"['B4Pi', 55, -1.0, 0.5, -0.5]",0.010912083328057407
"['B4Pi', 55, -1.0, 1.5, 0.5]",0.011390537670056718
"['B4Pi', 55, 1.0, -1.5, -0.5]",0.01142736618261194
"['B4Pi', 55, 1.0, -0.5, 0.5]",0.011146119914662222
"['B4Pi', 55, 1.0, 0.5, 1.5]",0.00912438082934343
"['B4Pi', 55, 1.0, 1.5, 2.5]",0.0008521730340301093
"['B4Pi', 56, -1.0, -1.5, -2.5]",0.0057207919403188725
"['B4Pi', 56, -1.0, -0.5, -1.5]",0.014282684960153004
"['B4Pi', 56, -1.0, 0.5, -0.5]",0.015233979044371498
"['B4Pi', 56, -1.0, 1.5, 0.5]",0.013946937485490245
"['B4Pi', 56, 1.0, -1.5, -0.5]",0.015246487471750229
"['B4Pi', 56, 1.0, -0.5, 0.5]",0.01652152551963545
"['B4Pi', 56, 1.0, 0.5, 1.5]",0.01455744117829302
"['B4Pi', 56, 1.0, 1.5, 2.5]",3.986946063842809e-05
"['B4Pi', 57, -1.0, -1.5, -2.5]",0.015328764891331666
"['B4Pi', 57, -1.0, -0.5, -1.5]",0.020118762944338155
"['B4Pi', 57, -1.0, 0.5, -0.5]",0.01834333831554512
"['B4Pi', 57, -1.0, 1.5, 0.5]",0.00591086163461065
"['B4Pi', 57, 1.0, -1.5, -0.5]",0.0072002990188874995
"['B4Pi', 57, 1.0, -0.5, 0.5]",0.02431733674101284
"['B4Pi', 57, 1.0, 0.5, 1.5]",0.021020481099104153
"['B4Pi', 57, 1.0, 1.5, 2.5]",0.014924960823167585
"['B4Pi', 58, -1.0, -1.5, -2.5]",0.024841918155971067
"['B4Pi', 58, -1.0, -0.5, -1.5]",0.028147951860943814
"['B4Pi', 58, -1.0, 0.5, -0.5]",0.00867947617537748
"['B4Pi', 58, -1.0, 1.5, 0.5]",0.03352813441867856
"['B4Pi', 58, 1.0, -1.5, -0.5]",0.03359360150200647
"['B4Pi', 58, 1.0, -0.5, 0.5]",0.03328821692759421
"['B4Pi', 58, 1.0, 0.5, 1.5]",0.029733366966858826
"['B4Pi', 58, 1.0, 1.5, 2.5]",0.02477765032813077
"['B4Pi', 59, -1.0, -1.5, -2.5]",0.020341992739002248
"['B4Pi', 59, -1.0, -0.5, -1.5]",0.026376134453057386
"['B4Pi', 59, -1.0, 0.5, -0.5]",0.00288497523703924
"['B4Pi', 59, -1.0, 1.5, 0.5]",0.017411890916429935
"['B4Pi', 59, 1.0, -1.5, -0.5]",0.017256014537129875
"['B4Pi', 59, 1.0, -0.5, 0.5]",0.02938844438959801
"['B4Pi', 59, 1.0, 0.5, 1.5]",0.026959109701466432
"['B4Pi', 59, 1.0, 1.5, 2.5]",0.020244270276964488
"['C4Sigma-', 0, 0.0, -1.5, -1.5]",1.0457507172613166e-07
"['C4Sigma-', 0, 0.0, -0.5, -0.5]",1.047056312506009e-07
"['C4Sigma-', 0, 0.0, 0.5, 0.5]",1.0449425202220782e-07
"['C4Sigma-', 0, 0.0, 1.5, 1.5]",1.046446547670651e-07
"['C4Sigma-', 1, 0.0, -1.5, -1.5]",1.0424668415339514e-07
"['C4Sigma-', 1, 0.0, -0.5, -0.5]",1.04560815182451e-07
"['C4Sigma-', 1, 0.0, 0.5, 0.5]",1.0417718339671015e-07
"['C4Sigma-', 1, 0.0, 1.5, 1.5]",1.0435864758371736e-07
"['C4Sigma-', 2, 0.0, -1.5, -1.5]",1.0377495926372237e-07
"['C4Sigma-', 2, 0.0, -0.5, -0.5]",1.0393422118158912e-07
"['C4Sigma-', 2, 0.0, 0.5, 0.5]",1.0370014810536745e-07
"['C4Sigma-', 2, 0.0, 1.5, 1.5]",1.0391478252587764e-07
"['C4Sigma-', 3, 0.0, -1.5, -1.5]",1.0323888247433236e-07
"['C4Sigma-', 3, 0.0, -0.5, -0.5]",1.03363840927134e-07
"['C4Sigma-', 3, 0.0, 0.5, 0.5]",1.031448841443444e-07
"['C4Sigma-', 3, 0.0, 1.5, 1.5]",1.0328511850498804e-07
"['C4Sigma-', 4, 0.0, -1.5, -1.5]",1.0257241933783717e-07
"['C4Sigma-', 4, 0.0, -0.5, -0.5]",1.0277375681166937e-07
"['C4Sigma-', 4, 0.0, 0.5, 0.5]",1.0250064670597091e-07
"['C4Sigma-', 4, 0.0, 1.5, 1.5]",1.0264696693953297e-07
"['C4Sigma-', 5, 0.0, -1.5, -1.5]",1.018879701020993e-07
"['C4Sigma-', 5, 0.0, -0.5, -0.5]",1.0214325398430518e-07
"['C4Sigma-', 5, 0.0, 0.5, 0.5]",1.0182811202129851e-07
"['C4Sigma-', 5, 0.0, 1.5, 1.5]",1.0197754436030438e-07
"['C4Sigma-', 6, 0.0, -1.5, -1.5]",1.0119383025418284e-07
"['C4Sigma-', 6, 0.0, -0.5, -0.5]",1.0142432842669251e-07
"['C4Sigma-', 6, 0.0, 0.5, 0.5]",1.0125091875453013e-07
"['C4Sigma-', 6, 0.0, 1.5, 1.5]",1.0125700902439394e-07
"['C4Sigma-', 7, 0.0, -1.5, -1.5]",1.0048932238569192e-07
"['C4Sigma-', 7, 0.0, -0.5, -0.5]",1.0065925050620356e-07
"['C4Sigma-', 7, 0.0, 0.5, 0.5]",1.0048123863617807e-07
"['C4Sigma-', 7, 0.0, 1.5, 1.5]",1.0052527815475619e-07
"['C4Sigma-', 8, 0.0, -1.5, -1.5]",9.975639956457343e-08
"['C4Sigma-', 8, 0.0, -0.5, -0.5]",9.997549835227748e-08
"['C4Sigma-', 8, 0.0, 0.5, 0.5]",9.982449869862382e-08
"['C4Sigma-', 8, 0.0, 1.5, 1.5]",9.979892081440044e-08
"['C4Sigma-', 9, 0.0, -1.5, -1.5]",9.910710676225975e-08
"['C4Sigma-', 9, 0.0, -0.5, -0.5]",9.94089186379907e-08
"['C4Sigma-', 9, 0.0, 0.5, 0.5]",9.938150982999763e-08
"['C4Sigma-', 9, 0.0, 1.5, 1.5]",9.910984178054503e-08
"['C4Sigma-', 10, 0.0, -1.5, -1.5]",9.893476390932311e-08
"['C4Sigma-', 10, 0.0, -0.5, -0.5]",9.928281086229585e-08
"['C4Sigma-', 10, 0.0, 0.5, 0.5]",1.0028349354264957e-07
"['C4Sigma-', 10, 0.0, 1.5, 1.5]",9.858161962837194e-08
"['C4Sigma-', 11, 0.0, -1.5, -1.5]",1.3277307796811986e-07
"['C4Sigma-', 11, 0.0, -0.5, -0.5]",1.030978242230847e-07
"['C4Sigma-', 11, 0.0, 0.5, 0.5]",1.5624760166008178e-07
"['C4Sigma-', 11, 0.0, 1.5, 1.5]",9.951516658468217e-08
"['C4Sigma-', 12, 0.0, -1.5, -1.5]",9.808395016367412e-08
"['C4Sigma-', 12, 0.0, -0.5, -0.5]",1.1755891386388404e-07
"['C4Sigma-', 12, 0.0, 0.5, 0.5]",1.0011229416308071e-07
"['C4Sigma-', 12, 0.0, 1.5, 1.5]",1.0575468160099071e-07
"['C4Sigma-', 13, 0.0, -1.5, -1.5]",9.658767770719716e-08
"['C4Sigma-', 13, 0.0, -0.5, -0.5]",9.81715879184363e-08
"['C4Sigma-', 13, 0.0, 0.5, 0.5]",9.703363980755108e-08
"['C4Sigma-', 13, 0.0, 1.5, 1.5]",9.695709815627337e-08
"['C4Sigma-', 14, 0.0, -1.5, -1.5]",9.643914579933875e-08
"['C4Sigma-', 14, 0.0, -0.5, -0.5]",9.700119514475582e-08
"['C4Sigma-', 14, 0.0, 0.5, 0.5]",9.657040340241351e-08
"['C4Sigma-', 14, 0.0, 1.5, 1.5]",9.659114342458655e-08
"['C4Sigma-', 15, 0.0, -1.5, -1.5]",9.714494657343531e-08
"['C4Sigma-', 15, 0.0, -0.5, -0.5]",9.747662611100503e-08
"['C4Sigma-', 15, 0.0, 0.5, 0.5]",9.715954482188047e-08
"['C4Sigma-', 15, 0.0, 1.5, 1.5]",9.726609151688411e-08
"['C4Sigma-', 16, 0.0, -1.5, -1.5]",9.668729627702852e-08
"['C4Sigma-', 16, 0.0, -0.5, -0.5]",9.691241591266945e-08
"['C4Sigma-', 16, 0.0, 0.5, 0.5]",9.733364587224247e-08
"['C4Sigma-', 16, 0.0, 1.5, 1.5]",9.677243434571418e-08
"['C4Sigma-', 17, 0.0, -1.5, -1.5]",9.671350914008336e-08
"['C4Sigma-', 17, 0.0, -0.5, -0.5]",9.69155922659868e-08
"['C4Sigma-', 17, 0.0, 0.5, 0.5]",9.663870658511763e-08
"['C4Sigma-', 17, 0.0, 1.5, 1.5]",9.684223424863005e-08
"['C4Sigma-', 18, 0.0, -1.5, -1.5]",9.662173943041704e-08
"['C4Sigma-', 18, 0.0, -0.5, -0.5]",9.678187312167648e-08
"['C4Sigma-', 18, 0.0, 0.5, 0.5]",9.683901130143122e-08
"['C4Sigma-', 18, 0.0, 1.5, 1.5]",9.670210850065248e-08
"['C4Sigma-', 19, 0.0, -1.5, -1.5]",9.713763828137184e-08
"['C4Sigma-', 19, 0.0, -0.5, -0.5]",9.727175709655974e-08
"['C4Sigma-', 19, 0.0, 0.5, 0.5]",9.702431983498777e-08
"['C4Sigma-', 19, 0.0, 1.5, 1.5]",9.719503990230524e-08
"['C4Sigma-', 20, 0.0, -1.5, -1.5]",9.66131074799935e-08
"['C4Sigma-', 20, 0.0, -0.5, -0.5]",9.678330240949535e-08
"['C4Sigma-', 20, 0.0, 0.5, 0.5]",9.65654623509546e-08
"['C4Sigma-', 20, 0.0, 1.5, 1.5]",9.668305962470992e-08
"['C4Sigma-', 21, 0.0, -1.5, -1.5]",9.7906582829336e-08
"['C4Sigma-', 21, 0.0, -0.5, -0.5]",9.811254890156928e-08
"['C4Sigma-', 21, 0.0, 0.5, 0.5]",9.804645488303445e-08
"['C4Sigma-', 21, 0.0, 1.5, 1.5]",9.791978659151437e-08
"['C4Sigma-', 22, 0.0, -1.5, -1.5]",9.902753234677026e-08
"['C4Sigma-', 22, 0.0, -0.5, -0.5]",1.2621005909439882e-07
"['C4Sigma-', 22, 0.0, 0.5, 0.5]",1.0059118184928927e-07
"['C4Sigma-', 22, 0.0, 1.5, 1.5]",9.841393262713152e-08
"['C4Sigma-', 23, 0.0, -1.5, -1.5]",1.1470674260882447e-07
"['C4Sigma-', 23, 0.0, -0.5, -0.5]",1.0328587472627954e-07
"['C4Sigma-', 23, 0.0, 0.5, 0.5]",1.2933026043992226e-07
"['C4Sigma-', 23, 0.0, 1.5, 1.5]",1.0301959186259764e-07
"['C4Sigma-', 24, 0.0, -1.5, -1.5]",1.0045481424072598e-07
"['C4Sigma-', 24, 0.0, -0.5, -0.5]",1.1614600676730619e-07
"['C4Sigma-', 24, 0.0, 0.5, 0.5]",1.0110213039850187e-07
"['C4Sigma-', 24, 0.0, 1.5, 1.5]",1.0516822509973661e-07
"['C4Sigma-', 25, 0.0, -1.5, -1.5]",1.0132611576537771e-07
"['C4Sigma-', 25, 0.0, -0.5, -0.5]",1.2322387543420385e-07
"['C4Sigma-', 25, 0.0, 0.5, 0.5]",1.0250023940972592e-07
"['C4Sigma-', 25, 0.0, 1.5, 1.5]",1.0174924257766924e-07
"['C4Sigma-', 26, 0.0, -1.5, -1.5]",1.0215755542702071e-07
"['C4Sigma-', 26, 0.0, -0.5, -0.5]",1.0236441003720474e-07
"['C4Sigma-', 26, 0.0, 0.5, 0.5]",1.0173971893672461e-07
"['C4Sigma-', 26, 0.0, 1.5, 1.5]",1.0180237935565411e-07
"['C4Sigma-', 27, 0.0, -1.5, -1.5]",1.0153904332596707e-07
"['C4Sigma-', 27, 0.0, -0.5, -0.5]",1.0262795161244294e-07
"['C4Sigma-', 27, 0.0, 0.5, 0.5]",1.1513777516026038e-07
"['C4Sigma-', 27, 0.0, 1.5, 1.5]",1.0241849244269181e-07
"['C4Sigma-', 28, 0.0, -1.5, -1.5]",1.0294914986104445e-07
"['C4Sigma-', 28, 0.0, -0.5, -0.5]",1.0293644489966689e-07
"['C4Sigma-', 28, 0.0, 0.5, 0.5]",1.0309293059370738e-07
"['C4Sigma-', 28, 0.0, 1.5, 1.5]",1.0281727055126286e-07
"['C4Sigma-', 29, 0.0, -1.5, -1.5]",1.0543262148492287e-07
"['C4Sigma-', 29, 0.0, -0.5, -0.5]",1.0582015291940212e-07
"['C4Sigma-', 29, 0.0, 0.5, 0.5]",1.0541838163816703e-07
"['C4Sigma-', 29, 0.0, 1.5, 1.5]",1.0554485578378154e-07
"['C4Sigma-', 30, 0.0, -1.5, -1.5]",1.0862270883306604e-07
"['C4Sigma-', 30, 0.0, -0.5, -0.5]",1.0949431860566345e-07
"['C4Sigma-', 30, 0.0, 0.5, 0.5]",1.0853333523401153e-07
"['C4Sigma-', 30, 0.0, 1.5, 1.5]",1.0872925759411689e-07
"['C4Sigma-', 31, 0.0, -1.5, -1.5]",1.1067187514285145e-07
"['C4Sigma-', 31, 0.0, -0.5, -0.5]",1.1095594793883227e-07
"['C4Sigma-', 31, 0.0, 0.5, 0.5]",1.1057178669577327e-07
"['C4Sigma-', 31, 0.0, 1.5, 1.5]",1.1078759204914305e-07
"['C4Sigma-', 32, 0.0, -1.5, -1.5]",1.1138303259954101e-07
"['C4Sigma-', 32, 0.0, -0.5, -0.5]",1.1167842060779638e-07
"['C4Sigma-', 32, 0.0, 0.5, 0.5]",1.1127493703631678e-07
"['C4Sigma-', 32, 0.0, 1.5, 1.5]",1.115077242551093e-07
"['C4Sigma-', 33, 0.0, -1.5, -1.5]",1.1169512359454175e-07
"['C4Sigma-', 33, 0.0, -0.5, -0.5]",1.1201317541644883e-07
"['C4Sigma-', 33, 0.0, 0.5, 0.5]",1.1160377141032199e-07
"['C4Sigma-', 33, 0.0, 1.5, 1.5]",1.1180655982023631e-07
"['C4Sigma-', 34, 0.0, -1.5, -1.5]",1.1271901763099915e-07
"['C4Sigma-', 34, 0.0, -0.5, -0.5]",1.1299858159951578e-07
"['C4Sigma-', 34, 0.0, 0.5, 0.5]",1.126711123086473e-07
"['C4Sigma-', 34, 0.0, 1.5, 1.5]",1.128247258752485e-07
"['C4Sigma-', 35, 0.0, -1.5, -1.5]",1.1522166097093187e-07
"['C4Sigma-', 35, 0.0, -0.5, -0.5]",1.1553443494176721e-07
"['C4Sigma-', 35, 0.0, 0.5, 0.5]",1.1523481001368849e-07
"['C4Sigma-', 35, 0.0, 1.5, 1.5]",1.1549237654708607e-07
"['C4Sigma-', 36, 0.0, -1.5, -1.5]",1.1933821134392648e-07
"['C4Sigma-', 36, 0.0, -0.5, -0.5]",1.1972911046795942e-07
"['C4Sigma-', 36, 0.0, 0.5, 0.5]",1.221839849306296e-07
"['C4Sigma-', 36, 0.0, 1.5, 1.5]",1.1922488450869078e-07
"['C4Sigma-', 37, 0.0, -1.5, -1.5]",1.2907881457232073e-07
"['C4Sigma-', 37, 0.0, -0.5, -0.5]",1.250222614341389e-07
"['C4Sigma-', 37, 0.0, 0.5, 0.5]",1.268533554213617e-07
"['C4Sigma-', 37, 0.0, 1.5, 1.5]",1.2469969929936666e-07
"['C4Sigma-', 38, 0.0, -1.5, -1.5]",1.342081010542149e-07
"['C4Sigma-', 38, 0.0, -0.5, -0.5]",1.3126204255716606e-07
"['C4Sigma-', 38, 0.0, 0.5, 0.5]",1.4313645777064337e-07
"['C4Sigma-', 38, 0.0, 1.5, 1.5]",1.3019027046912036e-07
"['C4Sigma-', 39, 0.0, -1.5, -1.5]",1.7200082073853058e-07
"['C4Sigma-', 39, 0.0, -0.5, -0.5]",1.438727728164407e-07
"['C4Sigma-', 39, 0.0, 0.5, 0.5]",1.9075413196191162e-07
"['C4Sigma-', 39, 0.0, 1.5, 1.5]",1.3663052594587933e-07
"['C4Sigma-', 40, 0.0, -1.5, -1.5]",1.4198520184365995e-07
"['C4Sigma-', 40, 0.0, -0.5, -0.5]",1.652060480033938e-07
"['C4Sigma-', 40, 0.0, 0.5, 0.5]",1.4498819082967984e-07
"['C4Sigma-', 40, 0.0, 1.5, 1.5]",1.4796629697588278e-07
"['C4Sigma-', 41, 0.0, -1.5, -1.5]",1.4494914392277315e-07
"['C4Sigma-', 41, 0.0, -0.5, -0.5]",2.7198691927709204e-07
"['C4Sigma-', 41, 0.0, 0.5, 0.5]",1.459074981049418e-07
"['C4Sigma-', 41, 0.0, 1.5, 1.5]",1.9375657474409883e-07
"['C4Sigma-', 42, 0.0, -1.5, -1.5]",1.4953782037751555e-07
"['C4Sigma-', 42, 0.0, -0.5, -0.5]",1.630532391057892e-07
"['C4Sigma-', 42, 0.0, 0.5, 0.5]",1.4874654630272436e-07
"['C4Sigma-', 42, 0.0, 1.5, 1.5]",1.4886634697002826e-07
"['C4Sigma-', 43, 0.0, -1.5, -1.5]",1.5069327428849357e-07
"['C4Sigma-', 43, 0.0, -0.5, -0.5]",1.5312442239122642e-07
"['C4Sigma-', 43, 0.0, 0.5, 0.5]",1.5058603578646087e-07
"['C4Sigma-', 43, 0.0, 1.5, 1.5]",1.5768910186283273e-07
"['C4Sigma-', 44, 0.0, -1.5, -1.5]",1.887630290830769e-07
"['C4Sigma-', 44, 0.0, -0.5, -0.5]",1.5347586177832483e-07
"['C4Sigma-', 44, 0.0, 0.5, 0.5]",1.5252571683839499e-07
"['C4Sigma-', 44, 0.0, 1.5, 1.5]",1.533009742027977e-07
"['C4Sigma-', 45, 0.0, -1.5, -1.5]",1.563934804534414e-07
"['C4Sigma-', 45, 0.0, -0.5, -0.5]",1.561343098539647e-07
"['C4Sigma-', 45, 0.0, 0.5, 0.5]",1.5478215923932697e-07
"['C4Sigma-', 45, 0.0, 1.5, 1.5]",1.5575529301638541e-07
"['C4Sigma-', 46, 0.0, -1.5, -1.5]",1.6165524512572432e-07
"['C4Sigma-', 46, 0.0, -0.5, -0.5]",1.595227255620084e-07
"['C4Sigma-', 46, 0.0, 0.5, 0.5]",1.600092330740707e-07
"['C4Sigma-', 46, 0.0, 1.5, 1.5]",1.5904900914592013e-07
"['C4Sigma-', 47, 0.0, -1.5, -1.5]",1.641598829206834e-07
"['C4Sigma-', 47, 0.0, -0.5, -0.5]",1.6293323293963296e-07
"['C4Sigma-', 47, 0.0, 0.5, 0.5]",1.624604106292822e-07
"['C4Sigma-', 47, 0.0, 1.5, 1.5]",1.627663878781293e-07
"['C4Sigma-', 48, 0.0, -1.5, -1.5]",1.6855105613382962e-07
"['C4Sigma-', 48, 0.0, -0.5, -0.5]",1.6913596314096146e-07
"['C4Sigma-', 48, 0.0, 0.5, 0.5]",1.683420433859976e-07
"['C4Sigma-', 48, 0.0, 1.5, 1.5]",1.693405440759666e-07
"['C4Sigma-', 49, 0.0, -1.5, -1.5]",1.7437079728654764e-07
